pcstrip,Year,NUMBER_OF_PATIENTS,SHA,PCT,oseast1m,osnrth1m,lsoa11,msoa11,ru11ind,rgn,laua,imd,loneliness_zscore
MK181JP,2016,2912.916667,Q69,10Y,469698,234016,E01017645,E02003653,C1,E12000008,E07000004,127,1.312827047
MK181NU,2016,6538.666667,Q69,10Y,469677,234132,E01017645,E02003653,C1,E12000008,E07000004,127,1.084081958
MK183DW,2016,3144.166667,Q69,10Y,476892,227969,E01017738,E02003656,D1,E12000008,E07000004,-42,1.980117468
MK22DJ,2016,1948.833333,Q58,04F,487449,233529,E01016714,E02003488,C1,E12000008,E06000042,-33,-0.693472196
MK22EH,2016,4450.666667,Q58,04F,487778,233863,E01016716,E02003488,C1,E12000008,E06000042,-57,-0.486522086
MK22TX,2016,4083.5,Q58,04F,487307,233799,E01016716,E02003488,C1,E12000008,E06000042,-57,-0.756417611
MK23EJ,2016,993.0833333,Q58,04F,487772,232866,E01016746,E02003490,C1,E12000008,E06000042,-104,0.742287415
MK23HN,2016,2178.5,Q58,04F,487612,231968,E01016743,E02003490,C1,E12000008,E06000042,23,-0.120063519
MK36EN,2016,3536,Q58,04F,486078,233959,E01016711,E02003489,C1,E12000008,E06000042,4,0.347814927
MK37QU,2016,4111.583333,Q58,04F,484793,234259,E01016831,E02003487,C1,E12000008,E06000042,-98,0.323064469
MK401DS,2016,1149.083333,Q58,06F,504251,249729,E01017471,E02003627,C1,E12000006,E06000055,15,-0.886132799
MK402BU,2016,2135.833333,Q58,06F,504325,250243,E01017501,E02003625,C1,E12000006,E06000055,107,-0.687537085
MK402DQ,2016,1271,Q58,06F,504163,250570,E01017500,E02003625,C1,E12000006,E06000055,-33,-0.32336223
MK402DZ,2016,1352.9,Q58,06F,504104,250255,E01017501,E02003625,C1,E12000006,E06000055,107,-0.739039027
MK402LA,2016,3225.833333,Q58,06F,505259,250813,E01017482,E02003624,C1,E12000006,E06000055,16,-1.201014076
MK402TX,2016,4924.166667,Q58,06F,505047,250244,E01017484,E02003624,C1,E12000006,E06000055,89,-0.431371328
MK403DB,2016,3339.083333,Q58,06F,505768,250593,E01017485,E02003624,C1,E12000006,E06000055,34,-1.200121141
MK403NE,2016,1014.083333,Q58,06F,505750,250221,E01017485,E02003624,C1,E12000006,E06000055,34,0.661841428
MK403NG,2016,4359.333333,Q58,06F,505395,250186,E01017484,E02003624,C1,E12000006,E06000055,89,-0.338262181
MK403PX,2016,1091.333333,Q58,06F,505638,249959,E01017469,E02003627,C1,E12000006,E06000055,37,-0.948416583
MK404GH,2016,2261.416667,Q58,06F,501911,248802,E01017461,E02003623,D1,E12000006,E06000055,126,-0.729657869
MK404HR,2016,2870.416667,Q58,06F,503241,249387,E01017537,E02003628,C1,E12000006,E06000055,122,-1.302035561
MK416GA,2016,2226.5,Q58,06F,502301,253154,E01017480,E02003618,D1,E12000006,E06000055,-3,-0.664988602
MK417PW,2016,1186.75,Q58,06F,504265,250522,E01017500,E02003625,C1,E12000006,E06000055,-33,-2.2203752
MK419JE,2016,4036.75,Q58,06F,506954,251111,E01017488,E02003622,C1,E12000006,E06000055,-86,-0.549040726
MK420NT,2016,5221.166667,Q58,06F,505548,248717,E01017523,E02003629,C1,E12000006,E06000055,-125,-1.301005566
MK420UF,2016,813.5,Q58,06F,507443,246995,E01017487,E02003634,D1,E12000006,E06000055,116,0.641568012
MK428DR,2016,1297.666667,Q58,06F,503449,247882,E01017508,E02003632,C1,E12000006,E06000055,-119,-1.159933636
MK428EP,2016,1967.083333,Q58,06F,502840,247374,E01017514,E02003633,C1,E12000006,E06000055,-66,-0.726196406
MK428QD,2016,4113.166667,Q58,06F,503105,247780,E01017510,E02003631,C1,E12000006,E06000055,48,-0.387779483
MK429DJ,2016,0,Q58,06F,504661,248873,E01017473,E02003630,C1,E12000006,E06000055,22,-1.354090054
MK429JS,2016,1866.416667,Q58,06F,504528,248768,E01017473,E02003630,C1,E12000006,E06000055,22,-0.170842633
MK430HZ,2016,3487.166667,Q58,06F,495543,242255,E01017397,E02003605,D1,E12000006,E06000056,-31,-1.365161919
MK437DX,2016,2039.25,Q58,06F,495417,256953,E01017504,E02003617,D1,E12000006,E06000055,-2,0.793078939
MK439JJ,2016,1757.333333,Q58,06F,500943,244949,E01017551,E02003635,D1,E12000006,E06000055,105,0.810470833
MK441PZ,2016,1852,Q58,06F,500486,259793,E01017545,E02003616,F1,E12000006,E06000055,-29,-0.777506393
MK443HX,2016,1581.5,Q58,06F,512879,252158,E01017495,E02003619,D1,E12000006,E06000055,21,1.550350169
MK44EN,2016,4552.833333,Q58,04F,482762,234899,E01016753,E02003483,C1,E12000008,E06000042,40,-0.624252341
MK451DW,2016,4395.909091,Q58,06F,503557,235153,E01017401,E02003613,C1,E12000006,E06000056,-83,0.494378796
MK451DZ,2016,16074,Q58,06F,503478,235128,E01017401,E02003613,C1,E12000006,E06000056,-83,0.523792159
MK452SB,2016,3889.166667,Q58,06F,503474,237491,E01017371,E02003610,C1,E12000006,E06000056,-3,1.069434543
MK452TG,2016,3485.333333,Q58,06F,503413,237426,E01017371,E02003610,C1,E12000006,E06000056,-3,-0.20230876
MK454TA,2016,3776.833333,Q58,06F,508341,230693,E01017559,E02003636,D1,E12000006,E06000056,-60,0.929575782
MK465QG,2016,2831.333333,Q58,04F,488860,251713,E01016796,E02003459,D1,E12000008,E06000042,106,-0.837731777
MK56EY,2016,4364.5,Q58,04F,483216,237031,E01016778,E02003478,C1,E12000008,E06000042,107,-1.479977933
MK62LR,2016,2205.083333,Q58,04F,486012,238274,E01016729,E02003472,C1,E12000008,E06000042,37,0.401903795
MK64NG,2016,2316.583333,Q58,04F,486887,236892,E01016845,E02003476,C1,E12000008,E06000042,8,0.005995669
MK64NH,2016,3924.25,Q58,04F,486677,236445,E01016845,E02003476,C1,E12000008,E06000042,8,-1.097425075
MK77PB,2016,3535.166667,Q58,04F,489901,236749,E01016823,E02003475,C1,E12000008,E06000042,88,-0.461027726
MK89HN,2016,5331.583333,Q58,04F,482558,238181,E01016777,E02003478,C1,E12000008,E06000042,123,-0.477714709
N101DU,2016,2032.833333,Q61,08D,528642,190044,E01001997,E02000410,A1,E12000007,E09000014,32,-0.452938206
N101ET,2016,1924,Q61,07M,528395,190724,E01000156,E02000045,A1,E12000007,E09000003,-101,-0.40018888
N102PS,2016,4332.083333,Q61,08D,528858,189792,E01001997,E02000410,A1,E12000007,E09000014,32,-0.285108841
N103BJ,2016,1586.416667,Q61,08D,528395,189736,E01001991,E02000413,A1,E12000007,E09000014,-114,-1.025616791
N10AL,2016,1012.666667,Q61,08H,530530,183945,E01002715,E02000572,A1,E12000007,E09000019,64,-0.709916482
N10DG,2016,4508.916667,Q61,08H,531334,183456,E01002696,E02000573,A1,E12000007,E09000019,123,-1.354033615
N111BD,2016,1314.833333,Q61,07X,529580,192395,E01001530,E02000308,A1,E12000007,E09000010,16,0.656966142
N111EY,2016,2741.5,Q61,07M,528200,193892,E01000118,E02000033,A1,E12000007,E09000003,39,0.64478075
N112PF,2016,5160.416667,Q61,08D,529837,191409,E01001973,E02000400,A1,E12000007,E09000014,-50,-0.111080839
N113BU,2016,2328.75,Q61,07M,527774,192100,E01000161,E02000038,A1,E12000007,E09000003,15,-1.367022633
N113HB,2016,1208.25,Q61,07M,528108,192430,E01000158,E02000038,A1,E12000007,E09000003,-100,-0.594857615
N11SW,2016,5737.666667,Q61,08H,531467,184552,E01002795,E02000566,A1,E12000007,E09000019,-106,-0.860672281
N129SS,2016,7770.666667,Q61,07M,526448,192502,E01000323,E02000042,A1,E12000007,E09000003,103,-0.92735311
N12DE,2016,3466.916667,Q61,08H,532040,184173,E01002793,E02000569,A1,E12000007,E09000019,-83,-0.551162984
N134BS,2016,2747.083333,Q61,07X,531255,193236,E01001563,E02000305,A1,E12000007,E09000010,27,0.122788915
N134JJ,2016,2587.25,Q61,07X,530779,192659,E01001501,E02000312,A1,E12000007,E09000010,103,-0.278113429
N134RG,2016,2894.5,Q61,07X,530886,192947,E01001566,E02000305,A1,E12000007,E09000010,81,-0.190402992
N134RJ,2016,3064.166667,Q61,07X,530798,193006,E01001566,E02000305,A1,E12000007,E09000010,81,0.605036951
N134SE,2016,513.3636364,Q61,07X,530198,192090,E01001393,E02000312,A1,E12000007,E09000010,37,-0.998257389
N135ST,2016,1636.833333,Q61,07X,531948,193057,E01001496,E02000302,A1,E12000007,E09000010,76,2.010971491
N13BS,2016,2443,Q61,08H,532428,183961,E01002797,E02000571,A1,E12000007,E09000019,47,-1.504906003
N13JS,2016,2480.583333,Q61,07T,532867,184177,E01002718,E02000567,A1,E12000007,E09000019,-82,0.665641064
N13NG,2016,1524.5,Q61,08H,532726,184633,E01002716,E02000567,A1,E12000007,E09000019,-126,-0.50452477
N144AQ,2016,2488.25,Q61,07X,529185,195841,E01001418,E02000287,A1,E12000007,E09000010,17,1.483623604
N144PR,2016,2917.083333,Q61,07X,528614,195143,E01001420,E02000296,A1,E12000007,E09000010,-74,0.578403932
N153DY,2016,1824.75,Q61,08D,531582,189522,E01002085,E02000415,A1,E12000007,E09000014,40,-1.163756847
N153PB,2016,4086.5,Q61,08D,532271,189170,E01002043,E02000422,A1,E12000007,E09000014,-6,-1.255737332
N153TH,2016,0,Q61,08D,532294,188587,E01002042,E02000423,A1,E12000007,E09000014,-75,-8.245414701
N154AA,2016,370,Q61,08D,532656,189261,E01002067,E02000420,A1,E12000007,E09000014,13,-0.887260309
N154AB,2016,936.5,Q61,08D,532719,189384,E01002086,E02000409,A1,E12000007,E09000014,-98,1.810950063
N154JR,2016,9058.666667,Q61,08D,533197,189554,E01002067,E02000420,A1,E12000007,E09000014,13,0.266562082
N154RH,2016,3477.333333,Q61,08D,533924,189256,E01002068,E02000421,A1,E12000007,E09000014,120,0.068298741
N155AZ,2016,4117.5,Q61,08D,532587,188684,E01002045,E02000422,A1,E12000007,E09000014,66,0.178776436
N155HJ,2016,1096.833333,Q61,08D,533013,188674,E01002046,E02000422,A1,E12000007,E09000014,-112,0.971223969
N156JR,2016,2676.666667,Q61,08D,533638,188390,E01002051,E02000425,A1,E12000007,E09000014,56,0.977976404
N156QP,2016,437.3333333,Q61,08D,533033,188213,E01002056,E02000428,A1,E12000007,E09000014,85,0.506073833
N15DR,2016,4724.333333,Q61,07T,532796,183359,E01001781,E02000370,A1,E12000007,E09000012,-80,-0.565961473
N15HZ,2016,4412.166667,Q61,07T,533306,183400,E01001755,E02000369,A1,E12000007,E09000012,14,-1.010059597
N15QT,2016,3145,Q61,07T,533379,183923,E01001754,E02000369,A1,E12000007,E09000012,19,-1.549557362
N160EF,2016,953.1666667,Q61,07T,533267,186513,E01001741,E02000353,A1,E12000007,E09000012,52,0.49250264
N165JF,2016,2351.666667,Q61,07T,533038,187831,E01001807,E02000347,A1,E12000007,E09000012,-58,-1.266317464
N165SR,2016,2665.666667,Q61,07T,533616,186997,E01001800,E02000348,A1,E12000007,E09000012,62,-0.59829804
N165UF,2016,1579.083333,Q61,07T,532456,186933,E01001803,E02000352,A1,E12000007,E09000012,-79,-1.092470687
N166LD,2016,2470.25,Q61,07T,534022,187187,E01001725,E02000348,A1,E12000007,E09000012,-101,-0.899039777
N166UA,2016,4742,Q61,07T,533741,187885,E01001808,E02000345,A1,E12000007,E09000012,-28,-1.442723149
N167EA,2016,3384.5,Q61,07T,534209,186834,E01001728,E02006921,A1,E12000007,E09000012,-57,-0.92063744
N167LR,2016,947.0833333,Q61,07T,533833,186338,E01001831,E02000353,A1,E12000007,E09000012,74,1.39805945
N167UA,2016,4120.75,Q61,07T,533722,185639,E01001834,E02000358,A1,E12000007,E09000012,26,-1.238527042
N168AR,2016,1123.75,Q61,07T,533334,185451,E01001747,E02000358,A1,E12000007,E09000012,56,-0.901439581
N169DP,2016,2852.583333,Q61,07T,532544,186016,E01001737,E02000356,A1,E12000007,E09000012,-125,1.122847637
N169JT,2016,4203.666667,Q61,07T,532919,186359,E01001742,E02000352,A1,E12000007,E09000012,-36,-0.298352353
N169NF,2016,2139.25,Q61,08H,532817,185468,E01001739,E02000356,A1,E12000007,E09000012,28,-0.149114039
N176AA,2016,4218.5,Q61,08D,532945,190513,E01002082,E02000409,A1,E12000007,E09000014,9,0.019470035
N176QB,2016,2726.25,Q61,08D,533780,189892,E01001979,E02000407,A1,E12000007,E09000014,127,1.946562098
N176SB,2016,2366.833333,Q61,08D,533828,190260,E01001979,E02000407,A1,E12000007,E09000014,127,2.078299304
N178AH,2016,1667.833333,Q61,08D,533858,191313,E01002034,E02006794,A1,E12000007,E09000014,-93,1.582836324
N178NW,2016,4389.083333,Q61,08D,533512,191369,E01002092,E02000402,A1,E12000007,E09000014,88,0.101402725
N179DL,2016,1263.333333,Q61,08D,534172,190220,E01002079,E02000408,A1,E12000007,E09000014,-67,1.399152539
N179FD,2016,0,Q61,08D,534558,189546,E01002080,E02000411,A1,E12000007,E09000014,-52,-2.922982851
N17AA,2016,604.5833333,Q61,08H,532454,183796,E01002798,E02000571,A1,E12000007,E09000019,-47,0.347511929
N181HR,2016,1559,Q61,07X,533745,192368,E01032574,E02006793,A1,E12000007,E09000010,108,0.24141708
N181LA,2016,1574.25,Q61,07X,532640,192724,E01001465,E02000307,A1,E12000007,E09000010,111,0.358321994
N181RP,2016,2032.916667,Q61,07X,533467,192562,E01001458,E02006793,A1,E12000007,E09000010,105,-0.877495966
N182JF,2016,1579.833333,Q61,07X,534288,192330,E01001558,E02000309,A1,E12000007,E09000010,52,0.100980207
N182LY,2016,1425.916667,Q61,07X,534155,192574,E01001432,E02000309,A1,E12000007,E09000010,48,0.17659576
N182TB,2016,1164.833333,Q61,07X,533900,191780,E01001554,E02006793,A1,E12000007,E09000010,35,0.12069597
N18JG,2016,3608.416667,Q61,08H,531823,183564,E01002801,E02000573,A1,E12000007,E09000019,23,-1.163186101
N193NU,2016,1730.083333,Q61,08H,529988,186515,E01002810,E02000556,A1,E12000007,E09000019,59,-1.795716957
N193RN,2016,4233.833333,Q61,08H,529640,187116,E01002760,E02000555,A1,E12000007,E09000019,85,-1.376898412
N193YU,2016,2715.083333,Q61,08H,530040,187507,E01002758,E02000554,A1,E12000007,E09000019,17,-0.513576107
N195BZ,2016,1061.555556,Q61,07R,528837,186617,E01000908,E02000166,A1,E12000007,E09000007,104,0.123912175
N195EW,2016,2317.833333,Q61,08H,529279,185900,E01002768,E02000557,A1,E12000007,E09000019,95,-0.926991003
N19RH,2016,3859,Q61,08H,530558,183380,E01002711,E02000574,A1,E12000007,E09000019,10,-1.664962254
N200DH,2016,2835.5,Q61,07M,527543,193427,E01000265,E02000034,A1,E12000007,E09000003,-34,-0.412721771
N200QQ,2016,1722.416667,Q61,07M,526413,193142,E01000321,E02000035,A1,E12000007,E09000003,-76,-1.518230149
N209EX,2016,3412.666667,Q61,07M,526594,193951,E01000281,E02000031,A1,E12000007,E09000003,-25,-0.059031808
N20EQ,2016,2498.666667,Q61,07M,526205,188945,E01000207,E02000056,A1,E12000007,E09000003,-11,-0.132533918
N211UJ,2016,3124.25,Q61,07X,530817,195861,E01001522,E02000295,A1,E12000007,E09000010,123,-1.61645178
N212SA,2016,5462.25,Q61,07X,532017,194425,E01001402,E02000297,A1,E12000007,E09000010,-56,1.587714506
N213LE,2016,2800.833333,Q61,07X,531585,193757,E01001564,E02000298,A1,E12000007,E09000010,-46,-0.202021596
N225AB,2016,1171.75,Q61,08D,530925,191456,E01002102,E02000403,A1,E12000007,E09000014,-10,0.313143827
N225NJ,2016,2367.583333,Q61,08D,530983,190757,E01002105,E02000403,A1,E12000007,E09000014,29,0.211896279
N226RX,2016,3316.666667,Q61,08D,532112,190424,E01002028,E02000406,A1,E12000007,E09000014,-86,1.272791803
N227UN,2016,2030.5,Q61,08D,529123,190566,E01001966,E02000405,A1,E12000007,E09000014,-69,-0.346275634
N228HE,2016,4885.583333,Q61,08D,530797,190636,E01002098,E02000403,A1,E12000007,E09000014,-98,-0.09568969
N228JJ,2016,2082.833333,Q61,08D,530721,191502,E01001975,E02000397,A1,E12000007,E09000014,6,0.685594775
N228NW,2016,923.3333333,Q61,08D,530587,191428,E01001975,E02000397,A1,E12000007,E09000014,6,1.239741195
N28BG,2016,1443.083333,Q61,07M,526797,189814,E01000177,E02000052,A1,E12000007,E09000003,56,-0.21416098
N29JG,2016,1085.25,Q61,07M,527577,189299,E01001992,E02000413,A1,E12000007,E09000014,-38,1.039079953
N29QD,2016,2134.416667,Q61,07M,527369,189295,E01000182,E02000052,A1,E12000007,E09000003,-54,-0.065974211
N31LD,2016,2119.5,Q61,07M,525449,191108,E01000296,E02000046,A1,E12000007,E09000003,-31,-0.399956733
N31LY,2016,531,Q61,07M,525691,191327,E01000298,E02000046,A1,E12000007,E09000003,-57,0.667683025
N31YL,2016,3072.916667,Q61,07M,525580,191434,E01000301,E02000043,A1,E12000007,E09000003,102,-0.364624527
N32AU,2016,1936.666667,Q61,07M,526491,190872,E01000319,E02000050,A1,E12000007,E09000003,-47,1.267320287
N32JP,2016,2033.166667,Q61,07M,525229,190519,E01000196,E02000051,A1,E12000007,E09000003,-114,-1.198123295
N32JX,2016,1314.833333,Q61,07M,525086,190499,E01000196,E02000051,A1,E12000007,E09000003,-114,-0.437584378
N32QN,2016,1191.083333,Q61,07M,525871,190234,E01000197,E02000046,A1,E12000007,E09000003,15,0.207520895
N33NR,2016,1544.416667,Q61,07M,525179,190006,E01000202,E02000051,A1,E12000007,E09000003,71,-0.186868891
N41TL,2016,3300,Q61,08D,531816,188206,E01002002,E02000427,A1,E12000007,E09000014,-89,0.586696333
N42NU,2016,5953.916667,Q61,07T,532214,187239,E01001714,E02000346,A1,E12000007,E09000012,-67,-0.096747927
N43DU,2016,1962.916667,Q61,08H,530339,187126,E01002804,E02000554,A1,E12000007,E09000019,-114,-0.859840373
N43PZ,2016,3608.833333,Q61,08H,530784,187372,E01002805,E02000556,A1,E12000007,E09000019,-16,-0.169416827
N52ET,2016,3650.75,Q61,08H,532374,185339,E01002781,E02000565,A1,E12000007,E09000019,3,-2.126057013
N52QB,2016,2932.916667,Q61,08H,532143,185742,E01002744,E02000562,A1,E12000007,E09000019,17,-1.503892143
N64QA,2016,5171.916667,Q61,08D,528173,188078,E01002010,E02000426,A1,E12000007,E09000014,16,-0.324372999
N70SL,2016,997.8333333,Q61,08H,530366,185654,E01002763,E02000560,A1,E12000007,E09000019,-104,0.779062591
N76LB,2016,2788.25,Q61,08H,530166,186341,E01002733,E02000560,A1,E12000007,E09000019,-93,-1.036786286
N76NE,2016,1227,Q61,08H,530896,185573,E01033491,E02000564,A1,E12000007,E09000019,96,-0.517332915
N77JJ,2016,2451.833333,Q61,08H,531113,186229,E01002732,E02000558,A1,E12000007,E09000019,-38,-0.839122074
N77QZ,2016,1877.416667,Q61,08H,530660,186446,E01002731,E02000560,A1,E12000007,E09000019,2,-0.147486806
N78DD,2016,1556.75,Q61,08H,531151,185269,E01033491,E02000564,A1,E12000007,E09000019,96,-0.355234897
N78LT,2016,1657.083333,Q61,08H,531360,184952,E01002795,E02000566,A1,E12000007,E09000019,-106,-0.546993788
N78XF,2016,1557.333333,Q61,08H,530795,184738,E01002713,E02000568,A1,E12000007,E09000019,-25,-1.456069624
N79EW,2016,4301.083333,Q61,08H,530076,184927,E01002766,E02000568,A1,E12000007,E09000019,80,-1.586291525
N80PH,2016,1377.333333,Q61,08D,531073,189514,E01002030,E02000412,A1,E12000007,E09000014,81,3.247673813
N80RE,2016,258.3636364,Q61,08D,531695,189052,E01002003,E02000419,A1,E12000007,E09000014,-40,-0.729733728
N80RP,2016,749,Q61,08D,531759,188890,E01001999,E02000419,A1,E12000007,E09000014,96,0.559053015
N80SD,2016,301.3333333,Q61,08D,531730,189135,E01001999,E02000419,A1,E12000007,E09000014,96,-0.247501598
N88AE,2016,1246.75,Q61,08D,529978,188223,E01001985,E02000429,A1,E12000007,E09000014,-96,1.969257807
N88HJ,2016,2428.333333,Q61,08D,529859,188363,E01001985,E02000429,A1,E12000007,E09000014,-96,0.282240335
N88JD,2016,6543.333333,Q61,08D,529607,188842,E01002019,E02000418,A1,E12000007,E09000014,66,0.948406623
N88JJ,2016,826.25,Q61,08D,529459,189013,E01002019,E02000418,A1,E12000007,E09000014,66,0.997877267
N88SU,2016,3167.25,Q61,08D,529954,188621,E01002024,E02000418,A1,E12000007,E09000014,68,0.086223881
N89TB,2016,685.6666667,Q61,08D,530445,188497,E01001990,E02000430,A1,E12000007,E09000014,-62,1.758850104
N90TW,2016,7830.666667,Q61,07X,534372,193450,E01001429,E02000306,A1,E12000007,E09000010,-117,0.581016294
N97HD,2016,7397.416667,Q61,07X,534763,194422,E01001487,E02000299,A1,E12000007,E09000010,93,0.136258675
N98AJ,2016,2040.5,Q61,07X,535313,195059,E01001476,E02000294,A1,E12000007,E09000010,-87,1.093090501
N99HJ,2016,1513.75,Q61,07X,533205,193979,E01001461,E02000303,A1,E12000007,E09000010,-85,1.147477571
N99LW,2016,1582,Q61,07X,533883,193268,E01001428,E02000303,A1,E12000007,E09000010,28,-1.096362038
N99PU,2016,1657.333333,Q61,07X,533924,193916,E01001462,E02000300,A1,E12000007,E09000010,-86,-0.116237827
NE100RR,2016,1748.333333,Q49,13T,429534,562327,E01008243,E02001684,A1,E12000001,E08000037,-18,0.457960361
NE108PH,2016,3584.75,Q49,13T,429189,561105,E01008242,E02001696,A1,E12000001,E08000037,-109,0.262222897
NE109QG,2016,4999,Q49,13T,427761,561567,E01008216,E02001693,A1,E12000001,E08000037,-37,0.284248558
NE119AD,2016,3066.666667,Q49,13T,423148,562124,E01008210,E02001688,A1,E12000001,E08000037,35,0.210827298
NE126HS,2016,3395.666667,Q49,99C,427959,571506,E01008504,E02001739,A1,E12000001,E08000022,47,0.203667287
NE128LS,2016,1927.333333,Q49,99C,426698,568691,E01032650,E02001756,A1,E12000001,E08000022,-63,0.141580548
NE129BQ,2016,3653.333333,Q49,99C,427749,569621,E01008470,E02001751,A1,E12000001,E08000022,-69,0.102297804
NE136JJ,2016,1747.416667,Q49,99C,423815,572467,E01008579,E02001741,D1,E12000001,E08000022,94,0.941718444
NE136LN,2016,2477.083333,Q49,99C,424089,572704,E01008577,E02001741,D1,E12000001,E08000022,46,0.227348418
NE156TQ,2016,3490.75,Q49,13T,420847,564345,E01033547,E02001732,A1,E12000001,E08000021,-103,-0.523372465
NE158LX,2016,1830.166667,Q49,13T,416505,565702,E01008404,E02001721,A1,E12000001,E08000021,-120,0.498439422
NE159PA,2016,2158.083333,Q49,13T,415527,566504,E01008400,E02001721,A1,E12000001,E08000021,103,0.135512991
NE164PD,2016,5408.833333,Q49,13T,420774,561239,E01008267,E02001698,A1,E12000001,E08000037,33,-0.327162009
NE165LP,2016,1101.083333,Q49,13T,420923,558742,E01008272,E02001700,C1,E12000001,E08000037,111,0.125031737
NE166HU,2016,1880.75,Q45,00J,416741,556792,E01020636,E02004297,D1,E12000001,E06000047,-77,0.131773289
NE177BU,2016,875.0833333,Q49,13T,412054,558359,E01008186,E02001705,D1,E12000001,E08000037,5,0.978116636
NE177SB,2016,1422.916667,Q45,00J,411863,556560,E01020655,E02004298,E1,E12000001,E06000047,-117,0.171376459
NE17XR,2016,4505.5,Q49,13T,424757,564570,E01008397,E02001731,A1,E12000001,E08000021,-2,-2.037213765
NE18DQ,2016,10701.41667,Q49,13T,425087,564679,E01008397,E02001731,A1,E12000001,E08000021,-2,-0.778600693
NE209SD,2016,5954.916667,Q49,00L,416092,573071,E01027466,E02005725,C1,E12000001,E06000057,-54,0.577299395
NE214RD,2016,2584.833333,Q49,13T,417799,562316,E01008280,E02001685,A1,E12000001,E08000037,-122,-0.102103242
NE215AE,2016,3772.416667,Q49,13T,418492,563325,E01008177,E02001686,A1,E12000001,E08000037,125,-0.344512527
NE215NW,2016,513.8333333,Q49,13T,419549,562648,E01008181,E02001686,A1,E12000001,E08000037,88,-0.211716692
NE21JQ,2016,1030.666667,Q49,13T,425475,566010,E01008367,E02001724,A1,E12000001,E08000021,-118,0.378410339
NE226JX,2016,3724.583333,Q49,00L,425687,582054,E01027514,E02005741,C1,E12000001,E06000057,-120,-0.370616559
NE227DU,2016,2036.666667,Q49,00L,427864,583026,E01027551,E02005740,C1,E12000001,E06000057,-30,0.418157043
NE22AH,2016,2955.666667,Q49,13T,425356,566178,E01008367,E02001724,A1,E12000001,E08000021,-118,-0.35492874
NE231XZ,2016,5720.25,Q49,00L,426616,577981,E01027404,E02005716,A1,E12000001,E06000057,-40,0.054479183
NE236QN,2016,3764.083333,Q49,00L,426174,576747,E01027409,E02005715,A1,E12000001,E06000057,-82,0.431082777
NE236US,2016,3101.25,Q49,00L,426457,576776,E01027409,E02005715,A1,E12000001,E06000057,-82,-0.599693263
NE237EF,2016,1892.5,Q49,00L,428940,574443,E01027435,E02005719,D1,E12000001,E06000057,59,0.427656246
NE23LD,2016,1769.916667,Q49,13T,425096,566937,E01008371,E02001720,A1,E12000001,E08000021,112,-0.698170668
NE241DX,2016,9899.25,Q49,00L,431029,581607,E01027415,E02005710,C1,E12000001,E06000057,12,-0.643659692
NE241HD,2016,2961.75,Q49,00L,431073,581712,E01027415,E02005710,C1,E12000001,E06000057,12,-0.040321328
NE250BW,2016,1202.5,Q49,00L,430374,575231,E01027432,E02005719,D1,E12000001,E06000057,50,0.978956112
NE259PH,2016,3084,Q49,99C,433812,571506,E01008553,E02001746,A1,E12000001,E08000022,83,-0.413482361
NE259XJ,2016,2258.416667,Q49,99C,433745,572747,E01008547,E02001738,A1,E12000001,E08000022,-40,-0.213498368
NE261DU,2016,1478.416667,Q49,99C,435216,572167,E01008585,E02001743,A1,E12000001,E08000022,98,-0.617453538
NE261NA,2016,2016.75,Q49,99C,435172,572556,E01008586,E02001746,A1,E12000001,E08000022,-42,-0.497329409
NE262ND,2016,4257.416667,Q49,99C,435887,572021,E01008588,E02001743,A1,E12000001,E08000022,25,-0.878850486
NE263LW,2016,2369.083333,Q49,99C,434800,572303,E01008586,E02001746,A1,E12000001,E08000022,-42,-0.179398153
NE270HJ,2016,5076.416667,Q49,99C,431623,571618,E01008567,E02001744,A1,E12000001,E08000022,-37,-0.053663986
NE280AD,2016,3309.333333,Q49,99C,432102,567009,E01008542,E02001765,A1,E12000001,E08000022,38,-0.615663685
NE280PP,2016,2319.75,Q49,99C,432236,567506,E01008510,E02001763,A1,E12000001,E08000022,72,0.202357526
NE286BB,2016,3308.166667,Q49,99C,430213,566960,E01008574,E02001766,A1,E12000001,E08000022,90,-0.024851661
NE286RZ,2016,3811.916667,Q49,99C,429606,566208,E01008575,E02001767,A1,E12000001,E08000022,97,-0.400566205
NE287LP,2016,1638.25,Q49,99C,430051,566563,E01008574,E02001766,A1,E12000001,E08000022,90,0.147947539
NE289DX,2016,1242.916667,Q49,99C,431062,568095,E01008462,E02001761,A1,E12000001,E08000022,63,0.244465635
NE290DZ,2016,1838.833333,Q49,99C,435205,568415,E01008524,E02001759,A1,E12000001,E08000022,-122,-0.034459799
NE290HQ,2016,2183.75,Q49,99C,435229,568625,E01008529,E02001759,A1,E12000001,E08000022,-39,0.205387826
NE290HT,2016,4897.416667,Q49,99C,435265,568524,E01008524,E02001759,A1,E12000001,E08000022,-122,-0.083780411
NE290SF,2016,7773.5,Q49,99C,434850,568650,E01008524,E02001759,A1,E12000001,E08000022,-122,-0.494857662
NE296HT,2016,1735.916667,Q49,99C,433696,567498,E01008540,E02001764,A1,E12000001,E08000022,-74,0.09522513
NE311NU,2016,4599,Q49,00N,430704,564464,E01008641,E02001777,A1,E12000001,E08000023,100,0.072408323
NE312SP,2016,1998.666667,Q49,00N,431632,564424,E01008655,E02001776,A1,E12000001,E08000023,70,0.325417135
